admit,gre,gpa,rank,gender
0,380,3.61,3,M
1,660,3.67,3,F
1,800,4,1,F
1,640,3.19,4,M
0,520,2.93,4,M
1,760,3,2,M
1,560,2.98,1,M
0,400,3.08,2,M
1,540,3.39,3,M
0,700,3.92,2,F
0,800,4,4,M
0,440,3.22,1,F
1,760,4,1,M
0,700,3.08,2,M
1,700,4,1,M
0,480,3.44,3,F
0,780,3.87,4,F
0,360,2.56,3,M
0,800,3.75,2,F
1,540,3.81,1,F
0,500,3.17,3,M
1,660,3.63,2,M
0,600,2.82,4,M
0,680,3.19,4,M
1,760,3.35,2,F
1,800,3.66,1,M
1,620,3.61,1,F
1,520,3.74,4,F
1,780,3.22,2,F
0,520,3.29,1,F
0,540,3.78,4,F
0,760,3.35,3,M
0,600,3.4,3,F
1,800,4,3,M
0,360,3.14,1,M
0,400,3.05,2,F
0,580,3.25,1,F
0,520,2.9,3,F
1,500,3.13,2,M
1,520,2.68,3,M
0,560,2.42,2,F
1,580,3.32,2,F
1,600,3.15,2,M
0,500,3.31,3,F
0,700,2.94,2,F
1,460,3.45,3,F
1,580,3.46,2,F
0,500,2.97,4,M
0,440,2.48,4,F
0,400,3.35,3,F
0,640,3.86,3,M
0,440,3.13,4,M
0,740,3.37,4,F
1,680,3.27,2,M
0,660,3.34,3,F
1,740,4,3,F
0,560,3.19,3,F
0,380,2.94,3,M
0,400,3.65,2,F
0,600,2.82,4,M
1,620,3.18,2,F
0,560,3.32,4,F
0,640,3.67,3,F
1,680,3.85,3,F
0,580,4,3,F
0,600,3.59,2,F
0,740,3.62,4,F
0,620,3.3,1,F
0,580,3.69,1,M
0,800,3.73,1,M
0,640,4,3,F
0,300,2.92,4,F
0,480,3.39,4,F
0,580,4,2,M
0,720,3.45,4,M
0,720,4,3,M
0,560,3.36,3,F
1,800,4,3,F
0,540,3.12,1,M
1,620,4,1,M
0,700,2.9,4,F
0,620,3.07,2,M
0,500,2.71,2,M
0,380,2.91,4,F
1,500,3.6,3,F
0,520,2.98,2,M
0,600,3.32,2,F
0,600,3.48,2,M
0,700,3.28,1,M
1,660,4,2,F
0,700,3.83,2,M
1,720,3.64,1,F
0,800,3.9,2,M
0,580,2.93,2,M
1,660,3.44,2,M
0,660,3.33,2,M
0,640,3.52,4,F
0,480,3.57,2,F
0,700,2.88,2,F
0,400,3.31,3,F
