년,월,국적지역,단기체류외국인 수
2022,1,태국,139780
2022,1,미국,69253
2022,1,중국,53351
2022,1,베트남,28549
2022,1,몽골,12950
2022,1,러시아연방,9024
2022,1,필리핀,8577
2022,1,카자흐스탄,7579
2022,1,한국계중국인,6902
2022,1,우즈베키스탄,4078
2022,1,인도네시아,3689
2022,1,방글라데시,3274
2022,1,일본,2742
2022,1,파키스탄,2242
2022,1,캐나다,2208
2022,1,오스트레일리아,1833
2022,1,인도,1597
2022,1,네팔,1580
2022,1,말레이시아,1573
2022,1,미얀마,1525
2022,1,스리랑카,1424
2022,1,캄보디아,1391
2022,1,영국,845
2022,1,프랑스,795
2022,1,타이완,783
2022,1,독일,758
2022,1,이란,726
2022,1,키르기즈,683
2022,1,뉴질랜드,589
2022,1,라오스,569
2022,1,타지키스탄,500
2022,1,브라질,477
2022,1,터키,452
2022,1,싱가포르,422
2022,1,홍콩,399
2022,1,나이지리아,343
2022,1,이집트,331
2022,1,페루,308
2022,1,멕시코,270
2022,1,가나,267
2022,1,우크라이나,259
2022,1,아르헨티나,239
2022,1,이탈리아,227
2022,1,아랍에미리트연합,199
2022,1,티모르민주공화국,180
2022,1,네덜란드,179
2022,1,남아프리카공화국,169
2022,1,스페인,158
2022,1,루마니아,155
2022,1,폴란드,137
2022,1,스웨덴,137
2022,1,리비아,135
2022,1,이라크,134
2022,1,모로코,127
2022,1,파라과이,110
2022,1,스위스,105
2022,1,요르단,90
2022,1,덴마크,88
2022,1,벨기에,85
2022,1,그리스,79
2022,1,노르웨이,78
2022,1,콜롬비아,76
2022,1,아일랜드,73
2022,1,크로아티아,70
2022,1,칠레,66
2022,1,아프가니스탄,61
2022,1,체코,60
2022,1,오스트리아,57
2022,1,에콰도르,54
2022,1,라이베리아,54
2022,1,우간다,52
2022,1,튀니지,50
2022,1,베네수엘라,50
2022,1,과테말라,48
2022,1,사우디아라비아,47
2022,1,핀란드,46
2022,1,에티오피아,44
2022,1,알제리,43
2022,1,코트디부아르,42
2022,1,카메룬,42
2022,1,도미니카공화국,39
2022,1,조지아,38
2022,1,불가리아,38
2022,1,라트비아,35
2022,1,포르투갈,34
2022,1,벨로루시,34
2022,1,무국적,34
2022,1,헝가리,32
2022,1,코스타리카,31
2022,1,온두라스,30
2022,1,케냐,29
2022,1,이스라엘,29
